UNIDADE_ORCAMENTARIA,ACAO,GRUPO_DESPESA,DOTACAO_ATUALIZADA
26413 - Instituto Federal do Triângulo Mineiro,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,24.280.886
26413 - Instituto Federal do Triângulo Mineiro,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,156.141
26413 - Instituto Federal do Triângulo Mineiro,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,1.143.393
26413 - Instituto Federal do Triângulo Mineiro,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,63.047
26413 - Instituto Federal do Triângulo Mineiro,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,5.627.898
26413 - Instituto Federal do Triângulo Mineiro,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,4 - Investimentos,435.694
26413 - Instituto Federal do Triângulo Mineiro,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,431.214
26414 - Instituto Federal do Mato Grosso,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,89.749
26414 - Instituto Federal do Mato Grosso,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.203.150
26414 - Instituto Federal do Mato Grosso,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,56.179.599
26414 - Instituto Federal do Mato Grosso,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.537.311
26414 - Instituto Federal do Mato Grosso,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,105.800
26414 - Instituto Federal do Mato Grosso,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,17.648.530
26414 - Instituto Federal do Mato Grosso,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,4 - Investimentos,2.754.558
26414 - Instituto Federal do Mato Grosso,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,962.000
26415 - Instituto Federal do Mato Grosso do Sul,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,45.390
26415 - Instituto Federal do Mato Grosso do Sul,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.686.925
26415 - Instituto Federal do Mato Grosso do Sul,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,23.978.072
26415 - Instituto Federal do Mato Grosso do Sul,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.420.000
26415 - Instituto Federal do Mato Grosso do Sul,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,850.121
26415 - Instituto Federal do Mato Grosso do Sul,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,6.788.771
26415 - Instituto Federal do Mato Grosso do Sul,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,362.069
26415 - Instituto Federal do Mato Grosso do Sul,4641 - Publicidade de Utilidade Pública,3 - Outras Despesas Correntes,30.000
26416 - Instituto Federal do Pará,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,73.718
26416 - Instituto Federal do Pará,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.196.935
26416 - Instituto Federal do Pará,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,47.754.035
26416 - Instituto Federal do Pará,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,901.543
26416 - Instituto Federal do Pará,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,12.072.022
26416 - Instituto Federal do Pará,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,4 - Investimentos,438.009
26416 - Instituto Federal do Pará,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,507.840
26417 - Instituto Federal da Paraíba,00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,6.200
26417 - Instituto Federal da Paraíba,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,79.924
26417 - Instituto Federal da Paraíba,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,8.794.710
26417 - Instituto Federal da Paraíba,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,42.959.879
26417 - Instituto Federal da Paraíba,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,128.400
26417 - Instituto Federal da Paraíba,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,18.334.248
26417 - Instituto Federal da Paraíba,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,684.136
26418 - Instituto Federal de Pernambuco,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,79.328
26418 - Instituto Federal de Pernambuco,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.771.031
26418 - Instituto Federal de Pernambuco,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,46.560.012
26418 - Instituto Federal de Pernambuco,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.543.777
26418 - Instituto Federal de Pernambuco,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,109.460
26418 - Instituto Federal de Pernambuco,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,16.317.361
26418 - Instituto Federal de Pernambuco,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,378.255
26419 - Instituto Federal do Rio Grande do Sul,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,81.450
26419 - Instituto Federal do Rio Grande do Sul,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,6.110.171
26419 - Instituto Federal do Rio Grande do Sul,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,37.887.196
26436 - Instituto Federal Sul-rio-grandense,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,988.662
26436 - Instituto Federal Sul-rio-grandense,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,614.400
26436 - Instituto Federal Sul-rio-grandense,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",4 - Investimentos,94.368
26436 - Instituto Federal Sul-rio-grandense,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,2.800
26436 - Instituto Federal Sul-rio-grandense,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,12.060.934
26436 - Instituto Federal Sul-rio-grandense,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,391.297
26437 - Instituto Federal de Roraima,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,8.324
26437 - Instituto Federal de Roraima,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,521.155
26437 - Instituto Federal de Roraima,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,14.722.013
26437 - Instituto Federal de Roraima,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,500.000
26437 - Instituto Federal de Roraima,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,4.000.488
26437 - Instituto Federal de Roraima,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,205.415
26438 - Instituto Federal de Santa Catarina,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,94.456
26438 - Instituto Federal de Santa Catarina,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,656.166
26438 - Instituto Federal de Santa Catarina,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,49.458.043
26438 - Instituto Federal de Santa Catarina,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,4.778.651
26438 - Instituto Federal de Santa Catarina,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,129.600
26438 - Instituto Federal de Santa Catarina,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,16.104.419
26438 - Instituto Federal de Santa Catarina,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,4 - Investimentos,585.065
26438 - Instituto Federal de Santa Catarina,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,430.324
26438 - Instituto Federal de Santa Catarina,4641 - Publicidade de Utilidade Pública,3 - Outras Despesas Correntes,250.000
26439 - Instituto Federal de São Paulo,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,134.753
26439 - Instituto Federal de São Paulo,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,10.163.625
26439 - Instituto Federal de São Paulo,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,72.517.209
26439 - Instituto Federal de São Paulo,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,3.062.599
26439 - Instituto Federal de São Paulo,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,367.200
26439 - Instituto Federal de São Paulo,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,26.152.964
26439 - Instituto Federal de São Paulo,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,863.091
26425 - Instituto Federal do Acre,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,14.641.027
26425 - Instituto Federal do Acre,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.042.558
26425 - Instituto Federal do Acre,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,556.617
26425 - Instituto Federal do Acre,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,9.000
26425 - Instituto Federal do Acre,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,3.747.433
26425 - Instituto Federal do Acre,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,48.389
26426 - Instituto Federal do Amapá,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,23.869
26426 - Instituto Federal do Amapá,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,13.204.502
26426 - Instituto Federal do Amapá,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.230.866
26426 - Instituto Federal do Amapá,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,800.000
26426 - Instituto Federal do Amapá,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,5.000
26426 - Instituto Federal do Amapá,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,4.794.950
26426 - Instituto Federal do Amapá,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,399.048
26427 - Instituto Federal da Bahia,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,93.132
26427 - Instituto Federal da Bahia,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.904.397
26427 - Instituto Federal da Bahia,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,55.290.058
26427 - Instituto Federal da Bahia,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,202.072
26427 - Instituto Federal da Bahia,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,1.279.404
26427 - Instituto Federal da Bahia,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,436.553
26427 - Instituto Federal da Bahia,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,19.310.779
26427 - Instituto Federal da Bahia,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,1.041.400
26428 - Instituto Federal de Brasília,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,44.913
26428 - Instituto Federal de Brasília,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.957.883
26428 - Instituto Federal de Brasília,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,26.738.804
26428 - Instituto Federal de Brasília,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.386.678
26428 - Instituto Federal de Brasília,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,8.113.008
26428 - Instituto Federal de Brasília,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,277.449
26429 - Instituto Federal de Goiás,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,64.865
26429 - Instituto Federal de Goiás,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,31.427.879
26429 - Instituto Federal de Goiás,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,6.103.169
26429 - Instituto Federal de Goiás,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,10.705.347
26429 - Instituto Federal de Goiás,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,195.000
26430 - Instituto Federal do Sertão Pernambucano,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,43.118
26430 - Instituto Federal do Sertão Pernambucano,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.021.155
26430 - Instituto Federal do Sertão Pernambucano,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,19.433.727
26430 - Instituto Federal do Sertão Pernambucano,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,984.382
26430 - Instituto Federal do Sertão Pernambucano,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,10.800
26430 - Instituto Federal do Sertão Pernambucano,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,5.835.740
26430 - Instituto Federal do Sertão Pernambucano,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,438.689
26431 - Instituto Federal do Piauí,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,32.520
26431 - Instituto Federal do Piauí,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,827.054
26431 - Instituto Federal do Piauí,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,44.493.551
26431 - Instituto Federal do Piauí,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,108.363
26431 - Instituto Federal do Piauí,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,10.000
26431 - Instituto Federal do Piauí,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,15.979.440
26431 - Instituto Federal do Piauí,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,500.000
26432 - Instituto Federal do Paraná,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,89.401
26432 - Instituto Federal do Paraná,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.577.678
26432 - Instituto Federal do Paraná,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,43.572.647
26432 - Instituto Federal do Paraná,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,5.780.999
26432 - Instituto Federal do Paraná,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,1.541.500
26432 - Instituto Federal do Paraná,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",4 - Investimentos,195.618
26432 - Instituto Federal do Paraná,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,165.724
26432 - Instituto Federal do Paraná,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,12.850.478
26432 - Instituto Federal do Paraná,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,309.219
26433 - Instituto Federal do Rio de Janeiro,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,62.389
26433 - Instituto Federal do Rio de Janeiro,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.755.539
26433 - Instituto Federal do Rio de Janeiro,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,33.655.900
26433 - Instituto Federal do Rio de Janeiro,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.158.843
26433 - Instituto Federal do Rio de Janeiro,"21B3 - Fomento às ações de pesquisa, extensão e inovação nas instituições de ensino de educação profissional e tecnológica",3 - Outras Despesas Correntes,1.316.000
26433 - Instituto Federal do Rio de Janeiro,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,64.800
26433 - Instituto Federal do Rio de Janeiro,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,8.870.308
26433 - Instituto Federal do Rio de Janeiro,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,200.719
26434 - Instituto Federal Fluminense,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,57.155
26434 - Instituto Federal Fluminense,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,2.679.220
26434 - Instituto Federal Fluminense,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,44.877.161
26434 - Instituto Federal Fluminense,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,35.910
26434 - Instituto Federal Fluminense,216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos,3 - Outras Despesas Correntes,60.000
26434 - Instituto Federal Fluminense,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,11.579.845
26434 - Instituto Federal Fluminense,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,370.000
26435 - Instituto Federal do Rio Grande do Norte,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,84.132
26435 - Instituto Federal do Rio Grande do Norte,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,521.155
26435 - Instituto Federal do Rio Grande do Norte,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,50.645.709
26435 - Instituto Federal do Rio Grande do Norte,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,14.848.920
26435 - Instituto Federal do Rio Grande do Norte,2994 - Assistência aos Estudantes das Instituições Federais de Educação Profissional e Tecnológica,3 - Outras Despesas Correntes,15.225.463
26435 - Instituto Federal do Rio Grande do Norte,4572 - Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação,3 - Outras Despesas Correntes,1.316.000
26436 - Instituto Federal Sul-rio-grandense,00PW - Contribuições a Entidades Nacionais sem Exigência de Programação Específica,3 - Outras Despesas Correntes,61.198
26436 - Instituto Federal Sul-rio-grandense,"20RG - Reestruturação e Modernização das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",4 - Investimentos,1.138.139
26436 - Instituto Federal Sul-rio-grandense,"20RL - Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",3 - Outras Despesas Correntes,37.610.916
